Fecha UTC,Magnitud,Hora detección estación AC04,Hora detección estación AC05,Hora detección estación CO05,Hora detección estación CO10,Distancia a estación AC04,Distancia a estación AC05,Distancia a estación CO05,Distancia a estación CO10
2021-07-04T11:23:36,3.0,2021-07-04T11:23:45,2021-07-04T11:23:51,2021-07-04T11:23:51,2021-07-04T11:23:42,79.44,121.5,126.96,49.05
2021-07-04T11:43:45,3.9,2021-07-04T11:43:54,2021-07-04T11:44:00,2021-07-04T11:44:01,2021-07-04T11:43:51,78.33,127.4,133.5,55.27
2021-07-04T13:32:06,3.4,2021-07-04T13:32:16,2021-07-04T13:32:22,2021-07-04T13:32:21,2021-07-04T13:32:11,88.36,129.4,123.75,45.42
2021-07-04T15:05:28,4.6,2021-07-04T15:05:38,2021-07-04T15:05:43,2021-07-04T15:05:43,2021-07-04T15:05:34,81.2,125.43,128.37,50.16
2021-07-04T15:57:11,4.3,2021-07-04T15:57:20,2021-07-04T15:57:25,2021-07-04T15:57:27,2021-07-04T15:57:17,75.99,120.11,129.69,52.0
2021-07-04T19:39:24,4.0,2021-07-04T19:39:34,2021-07-04T19:39:40,2021-07-04T19:39:39,2021-07-04T19:39:30,86.13,131.62,128.6,50.29
2021-07-04T20:29:40,3.3,2021-07-04T20:29:50,2021-07-04T20:29:55,2021-07-04T20:29:55,2021-07-04T20:29:45,86.78,127.45,123.75,45.43
2021-07-04T21:30:53,3.2,2021-07-04T21:31:12,2021-07-04T21:31:09,2021-07-04T21:30:58,2021-07-04T21:30:57,154.06,135.17,42.39,36.21
2021-07-04T21:36:20,3.3,2021-07-04T21:36:29,2021-07-04T21:36:35,2021-07-04T21:36:36,2021-07-04T21:36:26,80.31,125.18,129.16,50.99
2021-07-04T22:11:31,3.8,2021-07-04T22:11:40,2021-07-04T22:11:45,2021-07-04T22:11:47,2021-07-04T22:11:37,75.87,119.72,129.51,51.87
2021-07-04T23:40:25,4.4,2021-07-04T23:40:34,2021-07-04T23:40:40,2021-07-04T23:40:42,2021-07-04T23:40:32,73.98,126.39,137.48,59.37
2021-07-04T23:57:04,3.3,2021-07-04T23:57:12,2021-07-04T23:57:19,2021-07-04T23:57:20,2021-07-04T23:57:11,72.08,122.95,136.43,58.6
