Fecha UTC	Hora detección estación CO10	Hora detección estación AC04	Hora detección estación AC05	Hora detección estación CO05
2021-07-04 06:22:41	2021-07-04T06:22:47	2021-07-04T06:22:50	2021-07-04T06:22:56	2021-07-04T06:22:56
2021-07-04 07:05:10	2021-07-04T07:05:17	2021-07-04T07:05:18	2021-07-04T07:05:24	2021-07-04T07:05:26
2021-07-04 07:45:49	2021-07-04T07:45:56	2021-07-04T07:45:57	2021-07-04T07:46:03	2021-07-04T07:46:05
2021-07-04 08:03:15	2021-07-04T08:03:21	2021-07-04T08:03:24	2021-07-04T08:03:30	2021-07-04T08:03:31
2021-07-04 08:05:41	2021-07-04T08:05:47	2021-07-04T08:05:50	2021-07-04T08:05:55	2021-07-04T08:05:57
2021-07-04 09:33:39	2021-07-04T09:33:45	2021-07-04T09:33:49	2021-07-04T09:33:54	2021-07-04T09:33:54
2021-07-04 09:52:51	2021-07-04T09:52:57	2021-07-04T09:53:01	2021-07-04T09:53:06	2021-07-04T09:53:07
2021-07-04 10:08:34	2021-07-04T10:08:40	2021-07-04T10:08:43	2021-07-04T10:08:48	2021-07-04T10:08:50
2021-07-04 10:34:49	2021-07-04T10:34:54	2021-07-04T10:34:59	2021-07-04T10:35:04	2021-07-04T10:35:04
2021-07-04 10:54:13	2021-07-04T10:54:19	2021-07-04T10:54:22	2021-07-04T10:54:28	2021-07-04T10:54:29
2021-07-04 11:23:36	2021-07-04T11:23:42	2021-07-04T11:23:45	2021-07-04T11:23:51	2021-07-04T11:23:51
2021-07-04 11:30:01	2021-07-04T11:30:07	2021-07-04T11:30:11	2021-07-04T11:30:16	2021-07-04T11:30:16
2021-07-04 11:43:45	2021-07-04T11:43:51	2021-07-04T11:43:54	2021-07-04T11:44:00	2021-07-04T11:44:01
2021-07-04 13:27:03	2021-07-04T13:27:09	2021-07-04T13:27:12	2021-07-04T13:27:17	2021-07-04T13:27:18
2021-07-04 13:32:06	2021-07-04T13:32:11	2021-07-04T13:32:16	2021-07-04T13:32:22	2021-07-04T13:32:21
2021-07-04 14:21:15	2021-07-04T14:21:21	2021-07-04T14:21:24	2021-07-04T14:21:30	2021-07-04T14:21:30
2021-07-04 15:05:28	2021-07-04T15:05:34	2021-07-04T15:05:38	2021-07-04T15:05:43	2021-07-04T15:05:43
2021-07-04 15:57:11	2021-07-04T15:57:17	2021-07-04T15:57:20	2021-07-04T15:57:25	2021-07-04T15:57:27
2021-07-04 19:12:27	2021-07-04T19:12:35	2021-07-04T19:12:49	2021-07-04T19:12:45	2021-07-04T19:12:28
2021-07-04 19:39:24	2021-07-04T19:39:30	2021-07-04T19:39:34	2021-07-04T19:39:40	2021-07-04T19:39:39
2021-07-04 20:29:40	2021-07-04T20:29:45	2021-07-04T20:29:50	2021-07-04T20:29:55	2021-07-04T20:29:55
2021-07-04 21:30:53	2021-07-04T21:30:57	2021-07-04T21:31:12	2021-07-04T21:31:09	2021-07-04T21:30:58
2021-07-04 21:36:20	2021-07-04T21:36:26	2021-07-04T21:36:29	2021-07-04T21:36:35	2021-07-04T21:36:36
2021-07-04 22:11:31	2021-07-04T22:11:37	2021-07-04T22:11:40	2021-07-04T22:11:45	2021-07-04T22:11:47
2021-07-04 23:40:25	2021-07-04T23:40:32	2021-07-04T23:40:34	2021-07-04T23:40:40	2021-07-04T23:40:42
2021-07-04 23:57:04	2021-07-04T23:57:11	2021-07-04T23:57:12	2021-07-04T23:57:19	2021-07-04T23:57:20
