Time;Magnitud;Estacion
2014-06-19 00:31:20;4.3;GO01
2018-06-29 22:17:35;4.3;CO02
2015-09-20 14:45:41;4.3;GO03
2014-03-04 02:49:45;4.3;GO03
2014-04-04 07:57:32;4.3;GO01
2016-02-25 11:49:13;4.3;CO02
2020-11-12 10:24:45;4.3;CO02
2015-09-19 22:35:30;4.3;GO03
2016-06-25 10:47:31;4.3;CO02
2014-04-12 22:35:06;4.3;GO01
2015-09-21 19:08:03;4.2;GO03
2016-02-16 15:49:34;4.2;CO02
2014-04-20 04:23:09;4.2;GO01
2016-06-03 13:46:53;4.2;PB09
2019-08-02 00:09:15;4.2;CO02
2014-03-15 09:31:18;4.2;GO01
2019-03-28 21:00:51;4.2;PB14
2014-06-24 11:23:31;4.2;CO02
2014-05-15 16:20:54;4.2;CO02
2020-10-06 05:16:25;4.2;CO02
2015-12-13 01:17:39;4.1;GO03
2015-10-09 22:18:19;4.1;GO03
2015-09-19 21:27:27;4.1;GO03
2017-10-07 10:37:24;4.1;CO02
2015-10-08 02:54:18;4.1;GO03
2016-03-04 07:58:18;4.1;PB09
2015-02-14 14:47:30;4.1;PB09
2015-09-20 23:00:11;4.1;GO03
2014-03-24 12:22:19;4.1;GO01
2020-01-09 16:25:56;4.1;GO01
2016-06-05 09:30:52;4.0;CO02
2015-03-02 14:02:07;4.0;GO03
2015-07-23 00:27:36;4.0;PB09
2014-03-18 20:17:34;4.0;PB06
2014-04-21 07:10:38;4.0;GO01
2014-12-15 00:32:19;4.0;CO02
2015-10-03 18:27:52;4.0;CO02
2016-02-22 18:46:56;4.0;CO02
2014-03-24 05:22:41;4.0;GO01
2016-07-05 09:53:07;4.0;CO02
