#EventID|Time|Latitude|Longitude|Depth/km|Author|Catalog|Contributor|ContributorID|MagType|Magnitude|MagAuthor|EventLocationName
4373064|2014-01-30 10:02:14|-32.0940|-71.7997|17.9|ISC|ISC|ISC|604017683|mb|4.9|ISC|NEAR COAST OF CENTRAL CHILE
4374991|2014-03-04 11:17:18|-33.6452|-71.9741|28.1|ISC|ISC|ISC|606911764|mb|4.9|ISC|NEAR COAST OF CENTRAL CHILE
4417698|2014-03-09 15:48:43|-32.2402|-71.7149|27.0|ISC|ISC|ISC|604106215|mb|4.9|ISC|NEAR COAST OF CENTRAL CHILE
4488880|2014-03-16 22:29:35|-19.8918|-70.8733|6.7|ISC|ISC|ISC|604162234|mb|4.9|NEIC|NEAR COAST OF NORTHERN CHILE
4488905|2014-03-17 08:51:05|-19.9614|-70.7823|19.5|ISC|ISC|ISC|609849420|mb|4.9|NEIC|NEAR COAST OF NORTHERN CHILE
4488928|2014-03-17 19:05:27|-20.0380|-70.7708|12.1|ISC|ISC|ISC|604172042|MW|4.9|GCMT|NEAR COAST OF NORTHERN CHILE
4488942|2014-03-18 09:30:28|-20.0409|-70.7083|22.2|ISC|ISC|ISC|604172963|mb|4.9|NEIC|NEAR COAST OF NORTHERN CHILE
4488956|2014-03-18 14:18:33|-20.0893|-70.8488|5.0|ISC|ISC|ISC|604178132|mb|4.9|NEIC|NEAR COAST OF NORTHERN CHILE
4598172|2014-03-22 13:44:13|-19.7614|-70.8382|22.3|ISC|ISC|ISC|604187022|mb|4.9|NEIC|NEAR COAST OF NORTHERN CHILE
4489192|2014-03-22 14:15:41|-19.8196|-70.7968|41.8|ISC|ISC|ISC|604187025|mb|4.9|NEIC|NEAR COAST OF NORTHERN CHILE
4558080|2014-03-30 00:20:29|-19.6975|-70.7780|24.3|ISC|ISC|ISC|604373826|mb|4.9|NEIC|NEAR COAST OF NORTHERN CHILE
4600879|2014-04-02 00:21:03|-19.9381|-70.4403|17.8|ISC|ISC|ISC|606913310|mb|4.9|NEIC|NEAR COAST OF NORTHERN CHILE
4601333|2014-04-02 00:33:08|-19.9136|-70.6252|10.0|ISC|ISC|ISC|604648182|mb|4.9|NEIC|NEAR COAST OF NORTHERN CHILE
4597354|2014-04-02 01:35:47|-20.1447|-70.7473|10.0|ISC|ISC|ISC|604395811|mb|4.9|NEIC|NEAR COAST OF NORTHERN CHILE
4615880|2014-04-02 01:54:05|-19.9251|-71.0188|10.0|ISC|ISC|ISC|606913370|mb|4.9|NEIC|OFF COAST OF NORTHERN CHILE
4597345|2014-04-02 02:52:26|-19.3045|-70.7688|17.2|ISC|ISC|ISC|604395818|mb|4.9|NEIC|NEAR COAST OF NORTHERN CHILE
4597358|2014-04-02 04:16:09|-19.9953|-70.8637|13.6|ISC|ISC|ISC|604425679|mb|4.9|NEIC|NEAR COAST OF NORTHERN CHILE
4597370|2014-04-02 08:25:51|-20.2106|-70.8406|14.8|ISC|ISC|ISC|609948268|mb|4.9|NEIC|NEAR COAST OF NORTHERN CHILE
4597398|2014-04-02 17:12:30|-19.8041|-70.3874|30.1|ISC|ISC|ISC|604398841|mb|4.9|NEIC|NEAR COAST OF NORTHERN CHILE
4597411|2014-04-02 20:42:48|-19.9453|-70.9614|16.0|ISC|ISC|ISC|609948309|mb|4.9|NEIC|NEAR COAST OF NORTHERN CHILE
4597434|2014-04-03 02:41:16|-20.0135|-70.9591|28.1|ISC|ISC|ISC|610240581|mb|4.9|NEIC|NEAR COAST OF NORTHERN CHILE
4597429|2014-04-03 03:11:35|-20.5256|-70.5304|35.0|ISC|ISC|ISC|606913529|mb|4.9|ISC|NEAR COAST OF NORTHERN CHILE
4597435|2014-04-03 03:45:53|-19.9107|-70.8132|14.7|ISC|ISC|ISC|604426127|mb|4.9|NEIC|NEAR COAST OF NORTHERN CHILE
4597443|2014-04-03 05:17:10|-19.7604|-71.0328|13.9|ISC|ISC|ISC|604399529|mb|4.9|NEIC|OFF COAST OF NORTHERN CHILE
4601144|2014-04-03 20:39:05|-20.5848|-70.6911|12.0|ISC|ISC|ISC|604425784|mb|4.9|NEIC|NEAR COAST OF NORTHERN CHILE
4597507|2014-04-03 23:37:51|-20.1597|-70.6425|27.9|ISC|ISC|ISC|604425792|mb|4.9|NEIC|NEAR COAST OF NORTHERN CHILE
4597549|2014-04-04 16:02:42|-20.4511|-70.7803|9.3|ISC|ISC|ISC|604426150|MW|4.9|GCMT|NEAR COAST OF NORTHERN CHILE
4597600|2014-04-05 07:54:20|-19.8612|-70.8510|20.5|ISC|ISC|ISC|604440655|MW|4.9|GCMT|NEAR COAST OF NORTHERN CHILE
4597739|2014-04-07 17:46:32|-20.1038|-70.4602|24.0|ISC|ISC|ISC|604446887|mb|4.9|NEIC|NEAR COAST OF NORTHERN CHILE
4597764|2014-04-08 05:40:48|-20.5308|-70.6567|19.1|ISC|ISC|ISC|604447892|mb|4.9|NEIC|NEAR COAST OF NORTHERN CHILE
4597765|2014-04-08 05:43:55|-20.5218|-70.6706|12.2|ISC|ISC|ISC|604447893|MW|4.9|GCMT|NEAR COAST OF NORTHERN CHILE
4598375|2014-04-11 08:39:43|-20.6268|-70.9539|13.3|ISC|ISC|ISC|604452075|mb|4.9|NEIC|NEAR COAST OF NORTHERN CHILE
