#EventID|Time|Latitude|Longitude|Depth/km|Author|Catalog|Contributor|ContributorID|MagType|Magnitude|MagAuthor|EventLocationName
4689297|2014-06-19 19:54:05|-19.8105|-70.8322|14.9|ISC|ISC|ISC|604747577|MW|5.8|GCMT|NEAR COAST OF NORTHERN CHILE
4718021|2014-06-20 20:22:27|-19.7708|-70.9688|14.2|ISC|ISC|ISC|604753712|MW|5.8|GCMT|NEAR COAST OF NORTHERN CHILE
5159043|2015-09-17 01:33:02|-31.7363|-72.0265|9.3|us|NEIC PDE|us|us20003kc5|mwr|5.8|us|OFF COAST OF CENTRAL CHILE
8500540|2015-09-19 09:07:09|-31.1000|-71.5900|28.0|gcmt|NEIC PDE||us20150919090709|mwc|5.8|gcmt|NEAR COAST OF CENTRAL CHILE
5165883|2015-11-21 23:05:30|-30.5754|-71.7676|27.0|us|NEIC PDE|us|us10004077|mww|5.8|us|NEAR COAST OF CENTRAL CHILE
5168759|2015-12-19 19:25:05|-30.6053|-71.3057|48.3|us|NEIC PDE|us|us100048du|mww|5.8|us|NEAR COAST OF CENTRAL CHILE
5184588|2016-06-05 05:51:11|-29.3424|-71.8594|28.0|us.gcmt|NEIC PDE|us|us20006257.gcmt20160605055109|Mww|5.8|us|NEAR COAST OF CENTRAL CHILE
5188291|2016-07-19 05:18:40|-30.2523|-71.9722|8.0|us.gcmt|NEIC PDE||us20006fpn.gcmt20160719051840|mww|5.8|us.gcmt|NEAR COAST OF CENTRAL CHILE
10117565|2017-04-28 16:05:57|-33.1309|-71.7869|28.0|us|NEIC PDE|us|us10008lm3|Mww|5.8|us|NEAR COAST OF CENTRAL CHILE
10391721|2017-08-12 12:54:13|-30.2422|-72.1616|9.0|us|NEIC PDE|us|us2000a7kk|Mww|5.8|us|OFF COAST OF CENTRAL CHILE
11330978|2020-10-28 14:53:10|-29.3296|-71.2140|43.8|us.pt|NEIC PDE|us|pt20302003.us7000c6u9|Mww|5.8|us|NEAR COAST OF CENTRAL CHILE
4371030|2014-01-04 00:11:50|-20.6745|-70.6427|25.6|ISC|ISC|ISC|603918274|MW|5.7|GCMT|NEAR COAST OF NORTHERN CHILE
4371211|2014-01-08 04:22:11|-20.7608|-70.6205|28.3|ISC|ISC|ISC|603941599|MW|5.7|GCMT|NEAR COAST OF NORTHERN CHILE
4489284|2014-03-24 11:40:43|-19.8491|-70.8330|18.9|ISC|ISC|ISC|604187977|MW|5.7|GCMT|NEAR COAST OF NORTHERN CHILE
4489292|2014-03-24 15:45:30|-19.5490|-70.7159|12.7|ISC|ISC|ISC|604273280|MW|5.7|GCMT|NEAR COAST OF NORTHERN CHILE
4597326|2014-04-02 00:03:12|-19.8121|-70.8543|14.6|ISC|ISC|ISC|604425671|mb|5.7|NEIC|NEAR COAST OF NORTHERN CHILE
4597356|2014-04-02 04:46:19|-20.0810|-70.7261|16.1|ISC|ISC|ISC|609948249|mb|5.7|NEIC|NEAR COAST OF NORTHERN CHILE
5156415|2015-08-23 23:10:04|-29.7138|-71.3409|34.7|ISC|ISC|ISC|607677064|MW|5.7|GCMT|NEAR COAST OF CENTRAL CHILE
8499110|2015-09-16 23:09:26|-31.5743|-71.6717|35.0|us|NEIC PDE|us|us10003itv|mb|5.7|us|NEAR COAST OF CENTRAL CHILE
5159408|2015-09-16 23:23:25|-31.1674|-71.7720|32.1|us|NEIC PDE|us|us20003m3n|mb|5.7|us|NEAR COAST OF CENTRAL CHILE
5159061|2015-09-17 04:02:10|-31.2244|-71.9260|16.0|guc|NEIC PDE|us|us20003kft|mwr|5.7|guc|NEAR COAST OF CENTRAL CHILE
5159128|2015-09-17 14:19:15|-30.9102|-71.9829|10.0|guc|NEIC PDE|us|us20003kld|mwr|5.7|guc|NEAR COAST OF CENTRAL CHILE
5159326|2015-09-19 09:07:09|-31.0999|-71.5902|28.0|us|NEIC PDE|us|us20003lsq|mww|5.7|us|NEAR COAST OF CENTRAL CHILE
8499908|2015-09-21 19:56:08|-31.7800|-71.6400|28.4|gcmt|NEIC PDE||us20150921195608|mwc|5.7|gcmt|NEAR COAST OF CENTRAL CHILE
5164455|2015-11-07 10:53:44|-30.7227|-71.3904|42.0|us|NEIC PDE|us|us10003vij|mww|5.7|us|NEAR COAST OF CENTRAL CHILE
5170511|2016-01-08 01:12:01|-30.6635|-71.6407|24.2|us|NEIC PDE|us|us10004c96|mww|5.7|us|NEAR COAST OF CENTRAL CHILE
10202621|2017-06-12 02:43:26|-31.5027|-71.7476|27.0|us|NEIC PDE|us|us20009lwp|Mww|5.7|us|NEAR COAST OF CENTRAL CHILE
11012422|2019-03-07 15:34:28|-29.4648|-72.6945|17.0|us|NEIC PDE|us|us1000jbws|Mww|5.7|us|OFF COAST OF CENTRAL CHILE
11303733|2020-09-01 07:01:26|-27.9742|-71.4230|20.6|pt.us|NEIC PDE|us|us7000bfmj.pt20245002|mww|5.7|us|NEAR COAST OF NORTHERN CHILE
11303788|2020-09-01 10:31:52|-27.8702|-71.4003|22.0|us|NEIC PDE|us|us7000bfq3|Mww|5.7|us|NEAR COAST OF NORTHERN CHILE
11327993|2020-10-21 09:13:06|-25.5231|-70.9323|20.0|us|NEIC PDE|us|us6000caj9|Mww|5.7|us|NEAR COAST OF NORTHERN CHILE
4489189|2014-03-22 13:29:59|-19.6907|-70.8915|17.1|ISC|ISC|ISC|604187020|MW|5.6|GCMT|NEAR COAST OF NORTHERN CHILE
4601188|2014-04-02 00:04:51|-19.5835|-70.6854|16.3|ISC|ISC|ISC|604425672|mb|5.6|NEIC|NEAR COAST OF NORTHERN CHILE
4597332|2014-04-02 00:06:44|-19.7553|-70.8965|15.2|ISC|ISC|ISC|604648158|mb|5.6|NEIC|NEAR COAST OF NORTHERN CHILE
4601454|2014-04-03 05:28:50|-20.8292|-70.5768|11.2|ISC|ISC|ISC|610240582|mb|5.6|ISC|NEAR COAST OF NORTHERN CHILE
4597582|2014-04-05 02:22:39|-32.7121|-71.3896|40.1|ISC|ISC|ISC|604440644|MW|5.6|GCMT|NEAR COAST OF CENTRAL CHILE
4597769|2014-04-08 10:14:31|-20.5463|-70.8640|4.8|ISC|ISC|ISC|604447942|MW|5.6|GCMT|NEAR COAST OF NORTHERN CHILE
4640354|2014-05-30 15:32:27|-21.2878|-69.9976|57.6|ISC|ISC|ISC|604663003|MW|5.6|GCMT|NORTHERN CHILE
4724840|2014-07-13 20:54:14|-20.2585|-70.3475|33.1|NEIC|ISC|ISC|610571173|MW|5.6|GCMT|NEAR COAST OF NORTHERN CHILE
5160474|2015-09-16 23:09:06|-31.1055|-71.4050|37.8|us|NEIC PDE|us|us20003kdq|mb|5.6|us|NEAR COAST OF CENTRAL CHILE
