Start,End
2017-12-11 00:00:00.274285,2017-12-11 00:01:00.274285
2017-12-11 00:01:00.274285,2017-12-11 00:02:00.274285
2017-12-11 00:02:00.274285,2017-12-11 00:03:00.274285
2017-12-11 00:03:00.274285,2017-12-11 00:04:00.274285
2017-12-11 00:04:00.274285,2017-12-11 00:05:00.274285
2017-12-11 00:05:00.274285,2017-12-11 00:06:00.274285
2017-12-11 00:06:00.274285,2017-12-11 00:07:00.274285
2017-12-11 00:07:00.274285,2017-12-11 00:08:00.274285
2017-12-11 00:08:00.274285,2017-12-11 00:09:00.274285
2017-12-11 00:09:00.274285,2017-12-11 00:10:00.274285
2017-12-11 00:10:00.274285,2017-12-11 00:11:00.274285
2017-12-11 00:11:00.274285,2017-12-11 00:12:00.274285
2017-12-11 00:12:00.274285,2017-12-11 00:13:00.274285
2017-12-11 00:13:00.274285,2017-12-11 00:14:00.274285
2017-12-11 00:14:00.274285,2017-12-11 00:15:00.274285
2017-12-11 00:15:00.274285,2017-12-11 00:16:00.274285
2017-12-11 00:16:00.274285,2017-12-11 00:17:00.274285
2017-12-11 00:17:00.274285,2017-12-11 00:18:00.274285
2017-12-11 00:18:00.274285,2017-12-11 00:19:00.274285
2017-12-11 00:19:00.274285,2017-12-11 00:20:00.274285
2017-12-11 00:20:00.274285,2017-12-11 00:21:00.274285
2017-12-11 00:21:00.274285,2017-12-11 00:22:00.274285
2017-12-11 00:24:16.274285,2017-12-11 00:25:16.274285
2017-12-11 00:25:16.274285,2017-12-11 00:26:16.274285
2017-12-11 00:26:16.274285,2017-12-11 00:27:16.274285
2017-12-11 00:27:16.274285,2017-12-11 00:28:16.274285
2017-12-11 00:28:16.274285,2017-12-11 00:29:16.274285
2017-12-11 00:29:16.274285,2017-12-11 00:30:16.274285
2017-12-11 00:30:16.274285,2017-12-11 00:31:16.274285
2017-12-11 00:31:16.274285,2017-12-11 00:32:16.274285
2017-12-11 00:32:16.274285,2017-12-11 00:33:16.274285
2017-12-11 00:33:16.274285,2017-12-11 00:34:16.274285
2017-12-11 00:34:16.274285,2017-12-11 00:35:16.274285
2017-12-11 00:35:16.274285,2017-12-11 00:36:16.274285
2017-12-11 00:36:16.274285,2017-12-11 00:37:16.274285
2017-12-11 00:37:16.274285,2017-12-11 00:38:16.274285
2017-12-11 00:38:16.274285,2017-12-11 00:39:16.274285
2017-12-11 00:39:16.274285,2017-12-11 00:40:16.274285
2017-12-11 00:40:16.274285,2017-12-11 00:41:16.274285
2017-12-11 00:43:38.305652,2017-12-11 00:44:38.305652
2017-12-11 00:44:38.305652,2017-12-11 00:45:38.305652
2017-12-11 00:45:38.305652,2017-12-11 00:46:38.305652
2017-12-11 00:46:38.305652,2017-12-11 00:47:38.305652
2017-12-11 00:47:38.305652,2017-12-11 00:48:38.305652
2017-12-11 00:48:38.305652,2017-12-11 00:49:38.305652
2017-12-11 00:49:38.305652,2017-12-11 00:50:38.305652
