Start,End
2017-12-11 01:43:38.552727,2017-12-11 01:44:38.552727
2017-12-11 01:44:38.552727,2017-12-11 01:45:38.552727
2017-12-11 01:45:38.552727,2017-12-11 01:46:38.552727
2017-12-11 01:46:38.552727,2017-12-11 01:47:38.552727
2017-12-11 01:47:38.552727,2017-12-11 01:48:38.552727
2017-12-11 01:48:38.552727,2017-12-11 01:49:38.552727
2017-12-11 01:49:38.552727,2017-12-11 01:50:38.552727
2017-12-11 01:50:38.552727,2017-12-11 01:51:38.552727
2017-12-11 01:51:38.552727,2017-12-11 01:52:38.552727
2017-12-11 01:52:38.552727,2017-12-11 01:53:38.552727
2017-12-11 01:53:38.552727,2017-12-11 01:54:38.552727
2017-12-11 01:54:38.552727,2017-12-11 01:55:38.552727
2017-12-11 01:55:38.552727,2017-12-11 01:56:38.552727
2017-12-11 01:56:38.552727,2017-12-11 01:57:38.552727
2017-12-11 01:57:38.552727,2017-12-11 01:58:38.552727
2017-12-11 01:58:38.552727,2017-12-11 01:59:38.552727
2017-12-11 01:59:38.552727,2017-12-11 02:00:38.552727
2017-12-11 02:00:38.552727,2017-12-11 02:01:38.552727
2017-12-11 02:01:38.552727,2017-12-11 02:02:38.552727
2017-12-11 02:02:38.552727,2017-12-11 02:03:38.552727
2017-12-11 02:03:38.552727,2017-12-11 02:04:38.552727
2017-12-11 02:04:38.552727,2017-12-11 02:05:38.552727
2017-12-11 02:05:38.552727,2017-12-11 02:06:38.552727
2017-12-11 02:06:38.552727,2017-12-11 02:07:38.552727
2017-12-11 02:07:38.552727,2017-12-11 02:08:38.552727
2017-12-11 02:08:38.552727,2017-12-11 02:09:38.552727
2017-12-11 02:09:38.552727,2017-12-11 02:10:38.552727
2017-12-11 02:10:38.552727,2017-12-11 02:11:38.552727
2017-12-11 02:11:38.552727,2017-12-11 02:12:38.552727
2017-12-11 02:12:38.552727,2017-12-11 02:13:38.552727
2017-12-11 02:13:38.552727,2017-12-11 02:14:38.552727
2017-12-11 02:14:38.552727,2017-12-11 02:15:38.552727
2017-12-11 02:15:38.552727,2017-12-11 02:16:38.552727
2017-12-11 02:16:38.552727,2017-12-11 02:17:38.552727
2017-12-11 02:17:38.552727,2017-12-11 02:18:38.552727
2017-12-11 02:18:38.552727,2017-12-11 02:19:38.552727
2017-12-11 02:19:38.552727,2017-12-11 02:20:38.552727
2017-12-11 02:20:38.552727,2017-12-11 02:21:38.552727
2017-12-11 02:21:38.552727,2017-12-11 02:22:38.552727
2017-12-11 02:22:38.552727,2017-12-11 02:23:38.552727
2017-12-11 02:23:38.552727,2017-12-11 02:24:38.552727
2017-12-11 02:24:38.552727,2017-12-11 02:25:38.552727
2017-12-11 02:25:38.552727,2017-12-11 02:26:38.552727
2017-12-11 02:26:38.552727,2017-12-11 02:27:38.552727
2017-12-11 02:27:38.552727,2017-12-11 02:28:38.552727
2017-12-11 02:28:38.552727,2017-12-11 02:29:38.552727
2017-12-11 02:29:38.552727,2017-12-11 02:30:38.552727
2017-12-11 02:30:38.552727,2017-12-11 02:31:38.552727
2017-12-11 02:31:38.552727,2017-12-11 02:32:38.552727
2017-12-11 02:32:38.552727,2017-12-11 02:33:38.552727
2017-12-11 02:33:38.552727,2017-12-11 02:34:38.552727
2017-12-11 02:34:38.552727,2017-12-11 02:35:38.552727
2017-12-11 02:35:38.552727,2017-12-11 02:36:38.552727
2017-12-11 02:36:38.552727,2017-12-11 02:37:38.552727
2017-12-11 02:37:38.552727,2017-12-11 02:38:38.552727
2017-12-11 02:38:38.552727,2017-12-11 02:39:38.552727
2017-12-11 02:39:38.552727,2017-12-11 02:40:38.552727
2017-12-11 02:40:38.552727,2017-12-11 02:41:38.552727
2017-12-11 02:41:38.552727,2017-12-11 02:42:38.552727
2017-12-11 02:42:38.552727,2017-12-11 02:43:38.552727
2017-12-11 02:43:38.552727,2017-12-11 02:44:38.552727
2017-12-11 02:44:38.552727,2017-12-11 02:45:38.552727
2017-12-11 02:45:38.552727,2017-12-11 02:46:38.552727
2017-12-11 02:49:02.211981,2017-12-11 02:50:02.211981
2017-12-11 02:50:02.211981,2017-12-11 02:51:02.211981
2017-12-11 02:51:02.211981,2017-12-11 02:52:02.211981
2017-12-11 02:52:02.211981,2017-12-11 02:53:02.211981
2017-12-11 02:53:02.211981,2017-12-11 02:54:02.211981
2017-12-11 02:54:02.211981,2017-12-11 02:55:02.211981
2017-12-11 02:55:02.211981,2017-12-11 02:56:02.211981
2017-12-11 02:56:02.211981,2017-12-11 02:57:02.211981
2017-12-11 02:57:02.211981,2017-12-11 02:58:02.211981
2017-12-11 02:58:02.211981,2017-12-11 02:59:02.211981
2017-12-11 02:59:02.211981,2017-12-11 03:00:02.211981
2017-12-11 03:00:02.211981,2017-12-11 03:01:02.211981
2017-12-11 03:01:02.211981,2017-12-11 03:02:02.211981
2017-12-11 03:02:02.211981,2017-12-11 03:03:02.211981
2017-12-11 03:03:02.211981,2017-12-11 03:04:02.211981
2017-12-11 03:04:02.211981,2017-12-11 03:05:02.211981
2017-12-11 03:05:02.211981,2017-12-11 03:06:02.211981
2017-12-11 03:06:02.211981,2017-12-11 03:07:02.211981
2017-12-11 03:07:02.211981,2017-12-11 03:08:02.211981
2017-12-11 03:08:02.211981,2017-12-11 03:09:02.211981
2017-12-11 03:09:02.211981,2017-12-11 03:10:02.211981
2017-12-11 03:10:02.211981,2017-12-11 03:11:02.211981
2017-12-11 03:11:02.211981,2017-12-11 03:12:02.211981
2017-12-11 03:12:02.211981,2017-12-11 03:13:02.211981
2017-12-11 03:13:02.211981,2017-12-11 03:14:02.211981
2017-12-11 03:14:02.211981,2017-12-11 03:15:02.211981
2017-12-11 03:15:02.211981,2017-12-11 03:16:02.211981
2017-12-11 03:16:02.211981,2017-12-11 03:17:02.211981
2017-12-11 03:17:02.211981,2017-12-11 03:18:02.211981
2017-12-11 03:18:02.211981,2017-12-11 03:19:02.211981
2017-12-11 03:19:02.211981,2017-12-11 03:20:02.211981
2017-12-11 03:20:02.211981,2017-12-11 03:21:02.211981
2017-12-11 03:21:02.211981,2017-12-11 03:22:02.211981
2017-12-11 03:22:02.211981,2017-12-11 03:23:02.211981
2017-12-11 03:23:02.211981,2017-12-11 03:24:02.211981
2017-12-11 03:24:02.211981,2017-12-11 03:25:02.211981
2017-12-11 03:25:02.211981,2017-12-11 03:26:02.211981
2017-12-11 03:26:02.211981,2017-12-11 03:27:02.211981
2017-12-11 03:27:02.211981,2017-12-11 03:28:02.211981
2017-12-11 03:28:02.211981,2017-12-11 03:29:02.211981
2017-12-11 03:29:02.211981,2017-12-11 03:30:02.211981
2017-12-11 03:30:02.211981,2017-12-11 03:31:02.211981
2017-12-11 03:31:02.211981,2017-12-11 03:32:02.211981
2017-12-11 03:32:02.211981,2017-12-11 03:33:02.211981
2017-12-11 03:33:02.211981,2017-12-11 03:34:02.211981
2017-12-11 03:34:02.211981,2017-12-11 03:35:02.211981
2017-12-11 03:35:02.211981,2017-12-11 03:36:02.211981
2017-12-11 03:36:02.211981,2017-12-11 03:37:02.211981
2017-12-11 03:37:02.211981,2017-12-11 03:38:02.211981
2017-12-11 03:38:02.211981,2017-12-11 03:39:02.211981
2017-12-11 03:41:13.379466,2017-12-11 03:42:13.379466
2017-12-11 03:42:13.379466,2017-12-11 03:43:13.379466
2017-12-11 03:43:13.379466,2017-12-11 03:44:13.379466
2017-12-11 03:44:13.379466,2017-12-11 03:45:13.379466
2017-12-11 03:45:13.379466,2017-12-11 03:46:13.379466
2017-12-11 03:46:13.379466,2017-12-11 03:47:13.379466
2017-12-11 03:47:13.379466,2017-12-11 03:48:13.379466
2017-12-11 03:48:13.379466,2017-12-11 03:49:13.379466
2017-12-11 03:49:13.379466,2017-12-11 03:50:13.379466
2017-12-11 03:50:13.379466,2017-12-11 03:51:13.379466
2017-12-11 03:51:13.379466,2017-12-11 03:52:13.379466
2017-12-11 03:52:13.379466,2017-12-11 03:53:13.379466
2017-12-11 03:53:13.379466,2017-12-11 03:54:13.379466
2017-12-11 03:54:13.379466,2017-12-11 03:55:13.379466
2017-12-11 03:55:13.379466,2017-12-11 03:56:13.379466
2017-12-11 03:56:13.379466,2017-12-11 03:57:13.379466
2017-12-11 03:57:13.379466,2017-12-11 03:58:13.379466
2017-12-11 03:58:13.379466,2017-12-11 03:59:13.379466
2017-12-11 03:59:13.379466,2017-12-11 04:00:13.379466
2017-12-11 04:00:13.379466,2017-12-11 04:01:13.379466
2017-12-11 04:01:13.379466,2017-12-11 04:02:13.379466
2017-12-11 04:02:13.379466,2017-12-11 04:03:13.379466
2017-12-11 04:03:13.379466,2017-12-11 04:04:13.379466
2017-12-11 04:04:13.379466,2017-12-11 04:05:13.379466
2017-12-11 04:05:13.379466,2017-12-11 04:06:13.379466
2017-12-11 04:06:13.379466,2017-12-11 04:07:13.379466
2017-12-11 04:07:13.379466,2017-12-11 04:08:13.379466
2017-12-11 04:08:13.379466,2017-12-11 04:09:13.379466
2017-12-11 04:09:13.379466,2017-12-11 04:10:13.379466
2017-12-11 04:10:13.379466,2017-12-11 04:11:13.379466
2017-12-11 04:11:13.379466,2017-12-11 04:12:13.379466
2017-12-11 04:12:13.379466,2017-12-11 04:13:13.379466
2017-12-11 04:13:13.379466,2017-12-11 04:14:13.379466
2017-12-11 04:14:13.379466,2017-12-11 04:15:13.379466
2017-12-11 04:17:49.642506,2017-12-11 04:18:49.642506
2017-12-11 04:18:49.642506,2017-12-11 04:19:49.642506
2017-12-11 04:19:49.642506,2017-12-11 04:20:49.642506
2017-12-11 04:20:49.642506,2017-12-11 04:21:49.642506
2017-12-11 04:21:49.642506,2017-12-11 04:22:49.642506
2017-12-11 04:22:49.642506,2017-12-11 04:23:49.642506
2017-12-11 04:23:49.642506,2017-12-11 04:24:49.642506
2017-12-11 04:24:49.642506,2017-12-11 04:25:49.642506
2017-12-11 04:25:49.642506,2017-12-11 04:26:49.642506
2017-12-11 04:26:49.642506,2017-12-11 04:27:49.642506
2017-12-11 04:27:49.642506,2017-12-11 04:28:49.642506
2017-12-11 04:28:49.642506,2017-12-11 04:29:49.642506
2017-12-11 04:29:49.642506,2017-12-11 04:30:49.642506
2017-12-11 04:30:49.642506,2017-12-11 04:31:49.642506
2017-12-11 04:31:49.642506,2017-12-11 04:32:49.642506
2017-12-11 04:32:49.642506,2017-12-11 04:33:49.642506
2017-12-11 04:33:49.642506,2017-12-11 04:34:49.642506
2017-12-11 04:34:49.642506,2017-12-11 04:35:49.642506
2017-12-11 04:35:49.642506,2017-12-11 04:36:49.642506
2017-12-11 04:36:49.642506,2017-12-11 04:37:49.642506
2017-12-11 04:37:49.642506,2017-12-11 04:38:49.642506
2017-12-11 04:38:49.642506,2017-12-11 04:39:49.642506
2017-12-11 04:39:49.642506,2017-12-11 04:40:49.642506
2017-12-11 04:40:49.642506,2017-12-11 04:41:49.642506
2017-12-11 04:41:49.642506,2017-12-11 04:42:49.642506
2017-12-11 04:42:49.642506,2017-12-11 04:43:49.642506
2017-12-11 04:43:49.642506,2017-12-11 04:44:49.642506
2017-12-11 04:44:49.642506,2017-12-11 04:45:49.642506
2017-12-11 04:45:49.642506,2017-12-11 04:46:49.642506
2017-12-11 04:46:49.642506,2017-12-11 04:47:49.642506
2017-12-11 04:47:49.642506,2017-12-11 04:48:49.642506
2017-12-11 04:48:49.642506,2017-12-11 04:49:49.642506
2017-12-11 04:49:49.642506,2017-12-11 04:50:49.642506
2017-12-11 04:50:49.642506,2017-12-11 04:51:49.642506
2017-12-11 04:51:49.642506,2017-12-11 04:52:49.642506
2017-12-11 04:52:49.642506,2017-12-11 04:53:49.642506
2017-12-11 04:53:49.642506,2017-12-11 04:54:49.642506
2017-12-11 04:54:49.642506,2017-12-11 04:55:49.642506
2017-12-11 04:55:49.642506,2017-12-11 04:56:49.642506
2017-12-11 04:56:49.642506,2017-12-11 04:57:49.642506
2017-12-11 04:57:49.642506,2017-12-11 04:58:49.642506
2017-12-11 04:58:49.642506,2017-12-11 04:59:49.642506
2017-12-11 05:01:53.533768,2017-12-11 05:02:53.533768
2017-12-11 05:02:53.533768,2017-12-11 05:03:53.533768
2017-12-11 05:03:53.533768,2017-12-11 05:04:53.533768
2017-12-11 05:04:53.533768,2017-12-11 05:05:53.533768
2017-12-11 05:05:53.533768,2017-12-11 05:06:53.533768
2017-12-11 05:06:53.533768,2017-12-11 05:07:53.533768
2017-12-11 05:07:53.533768,2017-12-11 05:08:53.533768
2017-12-11 05:08:53.533768,2017-12-11 05:09:53.533768
2017-12-11 05:09:53.533768,2017-12-11 05:10:53.533768
2017-12-11 05:10:53.533768,2017-12-11 05:11:53.533768
2017-12-11 05:11:53.533768,2017-12-11 05:12:53.533768
2017-12-11 05:12:53.533768,2017-12-11 05:13:53.533768
2017-12-11 05:13:53.533768,2017-12-11 05:14:53.533768
2017-12-11 05:14:53.533768,2017-12-11 05:15:53.533768
2017-12-11 05:15:53.533768,2017-12-11 05:16:53.533768
2017-12-11 05:16:53.533768,2017-12-11 05:17:53.533768
2017-12-11 05:17:53.533768,2017-12-11 05:18:53.533768
2017-12-11 05:18:53.533768,2017-12-11 05:19:53.533768
2017-12-11 05:19:53.533768,2017-12-11 05:20:53.533768
2017-12-11 05:20:53.533768,2017-12-11 05:21:53.533768
2017-12-11 05:21:53.533768,2017-12-11 05:22:53.533768
2017-12-11 05:22:53.533768,2017-12-11 05:23:53.533768
2017-12-11 05:23:53.533768,2017-12-11 05:24:53.533768
2017-12-11 05:24:53.533768,2017-12-11 05:25:53.533768
2017-12-11 05:25:53.533768,2017-12-11 05:26:53.533768
2017-12-11 05:26:53.533768,2017-12-11 05:27:53.533768
2017-12-11 05:27:53.533768,2017-12-11 05:28:53.533768
2017-12-11 05:28:53.533768,2017-12-11 05:29:53.533768
2017-12-11 05:29:53.533768,2017-12-11 05:30:53.533768
2017-12-11 05:30:53.533768,2017-12-11 05:31:53.533768
2017-12-11 05:31:53.533768,2017-12-11 05:32:53.533768
2017-12-11 05:32:53.533768,2017-12-11 05:33:53.533768
2017-12-11 05:33:53.533768,2017-12-11 05:34:53.533768
2017-12-11 05:34:53.533768,2017-12-11 05:35:53.533768
2017-12-11 05:35:53.533768,2017-12-11 05:36:53.533768
2017-12-11 05:36:53.533768,2017-12-11 05:37:53.533768
2017-12-11 05:37:53.533768,2017-12-11 05:38:53.533768
2017-12-11 05:38:53.533768,2017-12-11 05:39:53.533768
2017-12-11 05:39:53.533768,2017-12-11 05:40:53.533768
2017-12-11 05:40:53.533768,2017-12-11 05:41:53.533768
2017-12-11 05:41:53.533768,2017-12-11 05:42:53.533768
2017-12-11 05:42:53.533768,2017-12-11 05:43:53.533768
2017-12-11 05:43:53.533768,2017-12-11 05:44:53.533768
2017-12-11 05:44:53.533768,2017-12-11 05:45:53.533768
2017-12-11 05:48:11.648586,2017-12-11 05:49:11.648586
2017-12-11 05:49:11.648586,2017-12-11 05:50:11.648586
2017-12-11 05:50:11.648586,2017-12-11 05:51:11.648586
2017-12-11 05:51:11.648586,2017-12-11 05:52:11.648586
2017-12-11 05:52:11.648586,2017-12-11 05:53:11.648586
2017-12-11 05:53:11.648586,2017-12-11 05:54:11.648586
2017-12-11 05:54:11.648586,2017-12-11 05:55:11.648586
2017-12-11 05:55:11.648586,2017-12-11 05:56:11.648586
2017-12-11 05:56:11.648586,2017-12-11 05:57:11.648586
2017-12-11 05:57:11.648586,2017-12-11 05:58:11.648586
2017-12-11 05:58:11.648586,2017-12-11 05:59:11.648586
2017-12-11 05:59:11.648586,2017-12-11 06:00:11.648586
2017-12-11 06:00:11.648586,2017-12-11 06:01:11.648586
2017-12-11 06:01:11.648586,2017-12-11 06:02:11.648586
2017-12-11 06:02:11.648586,2017-12-11 06:03:11.648586
2017-12-11 06:03:11.648586,2017-12-11 06:04:11.648586
2017-12-11 06:04:11.648586,2017-12-11 06:05:11.648586
2017-12-11 06:05:11.648586,2017-12-11 06:06:11.648586
2017-12-11 06:06:11.648586,2017-12-11 06:07:11.648586
2017-12-11 06:07:11.648586,2017-12-11 06:08:11.648586
2017-12-11 06:08:11.648586,2017-12-11 06:09:11.648586
2017-12-11 06:09:11.648586,2017-12-11 06:10:11.648586
2017-12-11 06:10:11.648586,2017-12-11 06:11:11.648586
2017-12-11 06:11:11.648586,2017-12-11 06:12:11.648586
2017-12-11 06:12:11.648586,2017-12-11 06:13:11.648586
2017-12-11 06:13:11.648586,2017-12-11 06:14:11.648586
2017-12-11 06:14:11.648586,2017-12-11 06:15:11.648586
2017-12-11 06:15:11.648586,2017-12-11 06:16:11.648586
2017-12-11 06:16:11.648586,2017-12-11 06:17:11.648586
2017-12-11 06:17:11.648586,2017-12-11 06:18:11.648586
2017-12-11 06:18:11.648586,2017-12-11 06:19:11.648586
2017-12-11 06:19:11.648586,2017-12-11 06:20:11.648586
2017-12-11 06:20:11.648586,2017-12-11 06:21:11.648586
2017-12-11 06:21:11.648586,2017-12-11 06:22:11.648586
2017-12-11 06:22:11.648586,2017-12-11 06:23:11.648586
2017-12-11 06:23:11.648586,2017-12-11 06:24:11.648586
2017-12-11 06:24:11.648586,2017-12-11 06:25:11.648586
2017-12-11 06:25:11.648586,2017-12-11 06:26:11.648586
2017-12-11 06:26:11.648586,2017-12-11 06:27:11.648586
2017-12-11 06:27:11.648586,2017-12-11 06:28:11.648586
2017-12-11 06:28:11.648586,2017-12-11 06:29:11.648586
2017-12-11 06:29:11.648586,2017-12-11 06:30:11.648586
2017-12-11 06:30:11.648586,2017-12-11 06:31:11.648586
2017-12-11 06:31:11.648586,2017-12-11 06:32:11.648586
2017-12-11 06:34:27.057894,2017-12-11 06:35:27.057894
2017-12-11 06:35:27.057894,2017-12-11 06:36:27.057894
2017-12-11 06:36:27.057894,2017-12-11 06:37:27.057894
2017-12-11 06:37:27.057894,2017-12-11 06:38:27.057894
2017-12-11 06:38:27.057894,2017-12-11 06:39:27.057894
2017-12-11 06:39:27.057894,2017-12-11 06:40:27.057894
2017-12-11 06:40:27.057894,2017-12-11 06:41:27.057894
2017-12-11 06:41:27.057894,2017-12-11 06:42:27.057894
2017-12-11 06:42:27.057894,2017-12-11 06:43:27.057894
2017-12-11 06:43:27.057894,2017-12-11 06:44:27.057894
2017-12-11 06:44:27.057894,2017-12-11 06:45:27.057894
2017-12-11 06:45:27.057894,2017-12-11 06:46:27.057894
2017-12-11 06:46:27.057894,2017-12-11 06:47:27.057894
2017-12-11 06:47:27.057894,2017-12-11 06:48:27.057894
2017-12-11 06:48:27.057894,2017-12-11 06:49:27.057894
2017-12-11 06:49:27.057894,2017-12-11 06:50:27.057894
2017-12-11 06:50:27.057894,2017-12-11 06:51:27.057894
2017-12-11 06:51:27.057894,2017-12-11 06:52:27.057894
2017-12-11 06:52:27.057894,2017-12-11 06:53:27.057894
2017-12-11 06:53:27.057894,2017-12-11 06:54:27.057894
2017-12-11 06:54:27.057894,2017-12-11 06:55:27.057894
2017-12-11 06:55:27.057894,2017-12-11 06:56:27.057894
2017-12-11 06:56:27.057894,2017-12-11 06:57:27.057894
2017-12-11 06:57:27.057894,2017-12-11 06:58:27.057894
2017-12-11 06:58:27.057894,2017-12-11 06:59:27.057894
2017-12-11 06:59:27.057894,2017-12-11 07:00:27.057894
2017-12-11 07:00:27.057894,2017-12-11 07:01:27.057894
2017-12-11 07:01:27.057894,2017-12-11 07:02:27.057894
2017-12-11 07:02:27.057894,2017-12-11 07:03:27.057894
2017-12-11 07:03:27.057894,2017-12-11 07:04:27.057894
2017-12-11 07:04:27.057894,2017-12-11 07:05:27.057894
2017-12-11 07:05:27.057894,2017-12-11 07:06:27.057894
2017-12-11 07:06:27.057894,2017-12-11 07:07:27.057894
2017-12-11 07:07:27.057894,2017-12-11 07:08:27.057894
2017-12-11 07:08:27.057894,2017-12-11 07:09:27.057894
2017-12-11 07:09:27.057894,2017-12-11 07:10:27.057894
2017-12-11 07:10:27.057894,2017-12-11 07:11:27.057894
2017-12-11 07:11:27.057894,2017-12-11 07:12:27.057894
2017-12-11 07:12:27.057894,2017-12-11 07:13:27.057894
2017-12-11 07:13:27.057894,2017-12-11 07:14:27.057894
2017-12-11 07:14:27.057894,2017-12-11 07:15:27.057894
2017-12-11 07:15:27.057894,2017-12-11 07:16:27.057894
2017-12-11 07:16:27.057894,2017-12-11 07:17:27.057894
2017-12-11 07:17:27.057894,2017-12-11 07:18:27.057894
2017-12-11 07:18:27.057894,2017-12-11 07:19:27.057894
2017-12-11 07:19:27.057894,2017-12-11 07:20:27.057894
2017-12-11 07:20:27.057894,2017-12-11 07:21:27.057894
2017-12-11 07:21:27.057894,2017-12-11 07:22:27.057894
2017-12-11 07:22:27.057894,2017-12-11 07:23:27.057894
2017-12-11 07:23:27.057894,2017-12-11 07:24:27.057894
2017-12-11 07:24:27.057894,2017-12-11 07:25:27.057894
2017-12-11 07:25:27.057894,2017-12-11 07:26:27.057894
2017-12-11 07:26:27.057894,2017-12-11 07:27:27.057894
2017-12-11 07:27:27.057894,2017-12-11 07:28:27.057894
2017-12-11 07:28:27.057894,2017-12-11 07:29:27.057894
2017-12-11 07:29:27.057894,2017-12-11 07:30:27.057894
2017-12-11 07:30:27.057894,2017-12-11 07:31:27.057894
2017-12-11 07:31:27.057894,2017-12-11 07:32:27.057894
2017-12-11 07:32:27.057894,2017-12-11 07:33:27.057894
2017-12-11 07:33:27.057894,2017-12-11 07:34:27.057894
2017-12-11 07:34:27.057894,2017-12-11 07:35:27.057894
