Start,End
2017-12-11 01:43:34.210031,2017-12-11 01:44:34.210031
2017-12-11 01:44:34.210031,2017-12-11 01:45:34.210031
2017-12-11 01:45:34.210031,2017-12-11 01:46:34.210031
2017-12-11 01:46:34.210031,2017-12-11 01:47:34.210031
2017-12-11 01:47:34.210031,2017-12-11 01:48:34.210031
2017-12-11 01:48:34.210031,2017-12-11 01:49:34.210031
2017-12-11 01:49:34.210031,2017-12-11 01:50:34.210031
2017-12-11 01:50:34.210031,2017-12-11 01:51:34.210031
2017-12-11 01:51:34.210031,2017-12-11 01:52:34.210031
2017-12-11 01:52:34.210031,2017-12-11 01:53:34.210031
2017-12-11 01:53:34.210031,2017-12-11 01:54:34.210031
2017-12-11 01:54:34.210031,2017-12-11 01:55:34.210031
2017-12-11 01:55:34.210031,2017-12-11 01:56:34.210031
2017-12-11 01:56:34.210031,2017-12-11 01:57:34.210031
2017-12-11 01:57:34.210031,2017-12-11 01:58:34.210031
2017-12-11 01:58:34.210031,2017-12-11 01:59:34.210031
2017-12-11 01:59:34.210031,2017-12-11 02:00:34.210031
2017-12-11 02:00:34.210031,2017-12-11 02:01:34.210031
2017-12-11 02:01:34.210031,2017-12-11 02:02:34.210031
2017-12-11 02:02:34.210031,2017-12-11 02:03:34.210031
2017-12-11 02:03:34.210031,2017-12-11 02:04:34.210031
2017-12-11 02:04:34.210031,2017-12-11 02:05:34.210031
2017-12-11 02:05:34.210031,2017-12-11 02:06:34.210031
2017-12-11 02:06:34.210031,2017-12-11 02:07:34.210031
2017-12-11 02:07:34.210031,2017-12-11 02:08:34.210031
2017-12-11 02:08:34.210031,2017-12-11 02:09:34.210031
2017-12-11 02:09:34.210031,2017-12-11 02:10:34.210031
2017-12-11 02:10:34.210031,2017-12-11 02:11:34.210031
2017-12-11 02:11:34.210031,2017-12-11 02:12:34.210031
2017-12-11 02:12:34.210031,2017-12-11 02:13:34.210031
2017-12-11 02:13:34.210031,2017-12-11 02:14:34.210031
2017-12-11 02:14:34.210031,2017-12-11 02:15:34.210031
2017-12-11 02:15:34.210031,2017-12-11 02:16:34.210031
2017-12-11 02:16:34.210031,2017-12-11 02:17:34.210031
2017-12-11 02:17:34.210031,2017-12-11 02:18:34.210031
2017-12-11 02:18:34.210031,2017-12-11 02:19:34.210031
2017-12-11 02:19:34.210031,2017-12-11 02:20:34.210031
2017-12-11 02:20:34.210031,2017-12-11 02:21:34.210031
2017-12-11 02:21:34.210031,2017-12-11 02:22:34.210031
2017-12-11 02:22:34.210031,2017-12-11 02:23:34.210031
2017-12-11 02:23:34.210031,2017-12-11 02:24:34.210031
2017-12-11 02:24:34.210031,2017-12-11 02:25:34.210031
2017-12-11 02:25:34.210031,2017-12-11 02:26:34.210031
2017-12-11 02:26:34.210031,2017-12-11 02:27:34.210031
2017-12-11 02:27:34.210031,2017-12-11 02:28:34.210031
