;#EventID;Time;Latitude;Longitude;Depth/km;Author;Catalog;Contributor;ContributorID;MagType;Magnitude;MagAuthor;EventLocationName;Magnitud;Estacion
0;4375020;2014-03-04 02:49:45;-27.894;-71.2092;40.3;ISC;ISC;ISC;604090866;mb;4.3;ISC;NEAR COAST OF NORTHERN CHILE;4.3;GO03
1;4597531;2014-04-04 07:57:32;-19.9379;-71.0575;6.7;ISC;ISC;ISC;609948376;mb;4.3;NEIC;OFF COAST OF NORTHERN CHILE;4.3;GO01
2;4598531;2014-04-12 22:35:06;-20.0519;-70.8313;6.6;ISC;ISC;ISC;604457923;mb;4.3;NEIC;NEAR COAST OF NORTHERN CHILE;4.3;GO01
3;4725360;2014-06-19 00:31:20;-20.239;-70.9313;2.8;ISC;ISC;ISC;604747036;mb;4.3;NEIC;NEAR COAST OF NORTHERN CHILE;4.3;GO01
4;5163020;2015-09-19 22:35:30;-30.815;-71.423;16.2;us;NEIC PDE;guc;us20003m0y;mb;4.3;us;NEAR COAST OF CENTRAL CHILE;4.3;GO03
5;5163076;2015-09-20 14:45:41;-30.3537;-72.2192;7.7;us;NEIC PDE;us;us10003kf6;mb;4.3;us;OFF COAST OF CENTRAL CHILE;4.3;GO03
6;5178619;2016-02-25 11:49:13;-30.7743;-71.6978;30.3;us;NEIC PDE;us;us10004skc;mb;4.3;;NEAR COAST OF CENTRAL CHILE;4.3;CO02
7;5189021;2016-06-25 10:47:31;-31.7063;-72.215;10.0;us;NEIC PDE;;us200066ry;mb;4.3;us;OFF COAST OF CENTRAL CHILE;4.3;CO02
8;10896756;2018-06-29 22:17:35;-30.6647;-71.353;35.0;us;NEIC PDE;us;us2000frrl;Mwr;4.3;guc;NEAR COAST OF CENTRAL CHILE;4.3;CO02
9;11340398;2020-11-12 10:24:45;-30.6797;-71.5658;41.2;us;NEIC PDE;us;us7000cdr9;mb;4.3;us;NEAR COAST OF CENTRAL CHILE;4.3;CO02
10;4601567;2014-03-15 09:31:18;-19.4432;-71.0312;11.6;ISC;ISC;ISC;606912263;mb;4.2;NEIC;OFF COAST OF NORTHERN CHILE;4.2;GO01
11;4639458;2014-04-20 04:23:09;-19.9311;-70.8601;3.0;ISC;ISC;ISC;606915135;mb;4.2;NEIC;NEAR COAST OF NORTHERN CHILE;4.2;GO01
12;4639290;2014-05-15 16:20:54;-32.9098;-72.1465;11.4;ISC;ISC;ISC;604633644;mb;4.2;ISC;OFF COAST OF CENTRAL CHILE;4.2;CO02
13;4726503;2014-06-24 11:23:31;-32.4394;-71.7854;10.8;ISC;ISC;ISC;606918521;mb;4.2;ISC;NEAR COAST OF CENTRAL CHILE;4.2;CO02
14;5159642;2015-09-21 19:08:03;-31.6156;-71.8604;22.7;us;NEIC PDE;us;us20003mj2;mb;4.2;us;NEAR COAST OF CENTRAL CHILE;4.2;GO03
15;5174483;2016-02-16 15:49:34;-30.4432;-72.0521;18.2;us;NEIC PDE;us;us200050ks;mb;4.2;us;OFF COAST OF CENTRAL CHILE;4.2;CO02
16;5185702;2016-06-03 13:46:53;-19.0388;-70.2867;40.2;us;NEIC PDE;us;us200061p0;mb;4.2;us;NEAR COAST OF NORTHERN CHILE;4.2;PB09
17;11019653;2019-03-28 21:00:51;-24.739;-70.9324;35.0;us;NEIC PDE;us;us2000k6sf;mb;4.2;us;NEAR COAST OF NORTHERN CHILE;4.2;PB14
