;#EventID;Time;Latitude;Longitude;Depth/km;Author;Catalog;Contributor;ContributorID;MagType;Magnitude;MagAuthor;EventLocationName;Magnitud;Estacion
0;10873483;2015-08-22 08:24:39;-29.004;-71.357;68.8;GUC;ISC;ISC;609379160;ML;3.3;GUC;NEAR COAST OF CENTRAL CHILE;3.3;GO03
1;10692794;2015-04-07 12:15:08;-29.432;-70.975;61.7;GUC;ISC;ISC;609109866;ML;3.3;GUC;CENTRAL CHILE;3.3;GO03
2;10570401;2015-01-05 22:09:18;-28.972;-71.532;39.2;GUC;ISC;ISC;608991570;ML;3.3;GUC;NEAR COAST OF CENTRAL CHILE;3.3;CO01
3;10333828;2014-07-16 03:37:47;-32.142;-71.817;23.8;GUC;ISC;ISC;608053777;ML;3.3;GUC;NEAR COAST OF CENTRAL CHILE;3.3;CO02
4;10323358;2014-07-06 06:58:33;-31.666;-71.588;35.2;GUC;ISC;ISC;608053111;ML;3.3;GUC;NEAR COAST OF CENTRAL CHILE;3.3;CO02
5;10181889;2014-04-15 01:59:32;-19.538;-70.723;35.6;GUC;ISC;ISC;608052665;ML;3.3;GUC;NEAR COAST OF NORTHERN CHILE;3.3;GO01
6;10168324;2014-04-03 21:32:19;-19.562;-70.743;34.5;GUC;ISC;ISC;608052147;ML;3.3;GUC;NEAR COAST OF NORTHERN CHILE;3.3;GO01
7;10168249;2014-04-03 19:56:49;-20.572;-70.917;11.7;GUC;ISC;ISC;608052145;ML;3.3;GUC;NEAR COAST OF NORTHERN CHILE;3.3;GO01
8;10080160;2014-03-26 02:14:41;-19.549;-70.863;36.4;GUC;ISC;ISC;607916188;ML;3.3;GUC;NEAR COAST OF NORTHERN CHILE;3.3;GO01
9;10076555;2014-03-23 07:03:09;-19.512;-69.264;4.8;GUC;ISC;ISC;607916058;ML;3.3;GUC;NORTHERN CHILE;3.3;GO01
10;10035660;2014-02-26 00:21:19;-28.775;-71.829;45.9;SJA;ISC;ISC;609758694;MW;3.3;SJA;NEAR COAST OF CENTRAL CHILE;3.3;GO03
11;10645474;2015-03-01 07:46:24;-25.859;-70.865;58.2;GUC;ISC;ISC;609109473;ML;3.2;GUC;NEAR COAST OF NORTHERN CHILE;3.2;PB14
12;10469931;2014-10-17 13:30:53;-32.005;-71.446;35.1;GUC;ISC;ISC;608450267;ML;3.2;GUC;NEAR COAST OF CENTRAL CHILE;3.2;CO02
13;10428312;2014-09-14 13:14:23;-20.365;-69.855;48.7;GUC;ISC;ISC;608276708;ML;3.2;GUC;NORTHERN CHILE;3.2;GO01
14;10346815;2014-07-28 10:22:40;-20.072;-70.537;33.4;GUC;ISC;ISC;608054857;ML;3.2;GUC;NEAR COAST OF NORTHERN CHILE;3.2;GO01
15;10337338;2014-07-19 13:00:50;-29.018;-71.609;38.0;GUC;ISC;ISC;608054774;ML;3.2;GUC;NEAR COAST OF CENTRAL CHILE;3.2;GO03
16;10257088;2014-05-24 08:03:06;-20.346;-69.951;52.9;GUC;ISC;ISC;607916710;ML;3.2;GUC;NORTHERN CHILE;3.2;GO01
17;10078504;2014-03-24 17:59:09;-19.579;-70.698;43.5;GUC;ISC;ISC;607916119;ML;3.2;GUC;NEAR COAST OF NORTHERN CHILE;3.2;GO01
18;10066039;2014-03-14 15:31:02;-30.428;-71.5416;2.7;ISC;ISC;ISC;607915765;MW;3.2;SJA;NEAR COAST OF CENTRAL CHILE;3.2;GO03
19;9979265;2014-01-20 23:32:46;-19.907;-70.434;45.3;GUC;ISC;ISC;606630729;MW;3.2;SJA;NEAR COAST OF NORTHERN CHILE;3.2;GO01
20;10791107;2015-06-20 19:49:26;-29.631;-72.688;45.5;GUC;ISC;ISC;609378574;ML;3.1;GUC;OFF COAST OF CENTRAL CHILE;3.1;CO02
21;10623357;2015-02-14 15:00:04;-19.777;-71.177;42.9;GUC;ISC;ISC;609109317;ML;3.1;GUC;OFF COAST OF NORTHERN CHILE;3.1;PB09
22;10593207;2015-01-28 10:08:32;-22.435;-70.178;63.0;GUC;ISC;ISC;608991881;ML;3.1;GUC;NEAR COAST OF NORTHERN CHILE;3.1;PB06
23;10356189;2014-08-05 21:02:05;-30.394;-71.541;35.7;GUC;ISC;ISC;608117653;ML;3.1;GUC;NEAR COAST OF CENTRAL CHILE;3.1;CO02
24;10319383;2014-07-02 12:08:48;-20.644;-70.868;24.1;GUC;ISC;ISC;608053085;ML;3.1;GUC;NEAR COAST OF NORTHERN CHILE;3.1;GO01
25;10262350;2014-05-28 00:41:24;-21.617;-70.383;20.1;GUC;ISC;ISC;607916752;ML;3.1;GUC;NEAR COAST OF NORTHERN CHILE;3.1;PB09
26;10194623;2014-04-25 13:40:50;-20.018;-70.492;34.8;GUC;ISC;ISC;608052919;ML;3.1;GUC;NEAR COAST OF NORTHERN CHILE;3.1;GO01
27;10189219;2014-04-21 07:33:38;-19.984;-71.027;33.4;GUC;ISC;ISC;608052829;ML;3.1;GUC;OFF COAST OF NORTHERN CHILE;3.1;GO01
28;10177964;2014-04-11 19:08:34;-19.882;-70.518;26.7;GUC;ISC;ISC;608052559;ML;3.1;GUC;NEAR COAST OF NORTHERN CHILE;3.1;GO01
29;10073129;2014-03-20 11:40:16;-23.095;-69.571;32.5;GUC;ISC;ISC;607915980;ML;3.1;GUC;NORTHERN CHILE;3.1;PB06
30;10069360;2014-03-17 10:05:25;-19.808;-70.9;32.8;GUC;ISC;ISC;607915824;ML;3.1;GUC;NEAR COAST OF NORTHERN CHILE;3.1;GO01
31;11255414;2020-06-19 05:39:16;-20.375;-70.1874;35.0;us;NEIC PDE;us;us6000aep7;ML;3.0;us;NEAR COAST OF NORTHERN CHILE;3.0;GO01
32;10616731;2015-02-07 18:41:42;-30.87;-72.525;29.8;GUC;ISC;ISC;609109258;ML;3.0;GUC;OFF COAST OF CENTRAL CHILE;3.0;CO02
33;10553281;2014-11-28 09:27:31;-32.572;-71.66;34.2;GUC;ISC;ISC;608504078;ML;3.0;GUC;NEAR COAST OF CENTRAL CHILE;3.0;CO02
34;10427505;2014-09-13 20:57:52;-28.052;-70.831;60.3;GUC;ISC;ISC;608276699;ML;3.0;GUC;CENTRAL CHILE;3.0;GO03
35;10355951;2014-08-05 17:13:06;-20.217;-70.829;42.0;GUC;ISC;ISC;608117651;ML;3.0;GUC;NEAR COAST OF NORTHERN CHILE;3.0;GO01
36;10306372;2014-06-20 06:29:36;-21.564;-69.637;28.9;GUC;ISC;ISC;607917017;ML;3.0;GUC;NORTHERN CHILE;3.0;PB09
37;10292067;2014-06-07 07:48:35;-20.296;-70.452;33.9;GUC;ISC;ISC;607916884;ML;3.0;GUC;NEAR COAST OF NORTHERN CHILE;3.0;GO01
38;10251433;2014-05-19 06:02:52;-19.875;-70.961;39.1;GUC;ISC;ISC;607916645;ML;3.0;GUC;NEAR COAST OF NORTHERN CHILE;3.0;GO01
39;10196909;2014-04-27 13:23:13;-20.332;-69.905;52.2;GUC;ISC;ISC;608052952;ML;3.0;GUC;NORTHERN CHILE;3.0;GO01
40;10084419;2014-03-29 18:00:25;-19.958;-70.874;42.6;GUC;ISC;ISC;607916294;ML;3.0;GUC;NEAR COAST OF NORTHERN CHILE;3.0;GO01
41;10021662;2014-02-13 20:01:54;-31.998;-71.986;29.2;SJA;ISC;ISC;609758213;MW;3.0;SJA;NEAR COAST OF CENTRAL CHILE;3.0;GO03
