Start,End
2020-09-01 00:00:00.139001,2020-09-01 00:01:00.139001
2020-09-01 00:01:00.139001,2020-09-01 00:02:00.139001
2020-09-01 00:02:00.139001,2020-09-01 00:03:00.139001
2020-09-01 00:03:00.139001,2020-09-01 00:04:00.139001
2020-09-01 00:04:00.139001,2020-09-01 00:05:00.139001
2020-09-01 00:05:00.139001,2020-09-01 00:06:00.139001
2020-09-01 00:06:00.139001,2020-09-01 00:07:00.139001
2020-09-01 00:07:00.139001,2020-09-01 00:08:00.139001
2020-09-01 00:08:00.139001,2020-09-01 00:09:00.139001
2020-09-01 00:09:00.139001,2020-09-01 00:10:00.139001
2020-09-01 00:10:00.139001,2020-09-01 00:11:00.139001
2020-09-01 00:11:00.139001,2020-09-01 00:12:00.139001
2020-09-01 00:12:00.139001,2020-09-01 00:13:00.139001
2020-09-01 00:13:00.139001,2020-09-01 00:14:00.139001
2020-09-01 00:14:00.139001,2020-09-01 00:15:00.139001
2020-09-01 00:15:00.139001,2020-09-01 00:16:00.139001
2020-09-01 00:16:00.139001,2020-09-01 00:17:00.139001
2020-09-01 00:17:00.139001,2020-09-01 00:18:00.139001
2020-09-01 00:18:00.139001,2020-09-01 00:19:00.139001
2020-09-01 00:19:00.139001,2020-09-01 00:20:00.139001
2020-09-01 00:20:00.139001,2020-09-01 00:21:00.139001
2020-09-01 00:21:00.139001,2020-09-01 00:22:00.139001
2020-09-01 00:22:00.139001,2020-09-01 00:23:00.139001
2020-09-01 00:23:00.139001,2020-09-01 00:24:00.139001
2020-09-01 00:24:00.139001,2020-09-01 00:25:00.139001
2020-09-01 00:25:00.139001,2020-09-01 00:26:00.139001
2020-09-01 00:26:00.139001,2020-09-01 00:27:00.139001
2020-09-01 00:27:00.139001,2020-09-01 00:28:00.139001
2020-09-01 00:28:00.139001,2020-09-01 00:29:00.139001
2020-09-01 00:29:00.139001,2020-09-01 00:30:00.139001
2020-09-01 00:30:00.139001,2020-09-01 00:31:00.139001
2020-09-01 00:33:06.139001,2020-09-01 00:34:06.139001
2020-09-01 00:34:06.139001,2020-09-01 00:35:06.139001
2020-09-01 00:35:06.139001,2020-09-01 00:36:06.139001
2020-09-01 00:36:06.139001,2020-09-01 00:37:06.139001
2020-09-01 00:37:06.139001,2020-09-01 00:38:06.139001
2020-09-01 00:38:06.139001,2020-09-01 00:39:06.139001
2020-09-01 00:39:06.139001,2020-09-01 00:40:06.139001
2020-09-01 00:40:06.139001,2020-09-01 00:41:06.139001
2020-09-01 00:41:06.139001,2020-09-01 00:42:06.139001
2020-09-01 00:42:06.139001,2020-09-01 00:43:06.139001
2020-09-01 00:43:06.139001,2020-09-01 00:44:06.139001
2020-09-01 00:44:06.139001,2020-09-01 00:45:06.139001
2020-09-01 00:45:06.139001,2020-09-01 00:46:06.139001
2020-09-01 00:46:06.139001,2020-09-01 00:47:06.139001
2020-09-01 00:47:06.139001,2020-09-01 00:48:06.139001
2020-09-01 00:50:16.062223,2020-09-01 00:51:16.062223
2020-09-01 00:51:16.062223,2020-09-01 00:52:16.062223
2020-09-01 00:52:16.062223,2020-09-01 00:53:16.062223
2020-09-01 00:53:16.062223,2020-09-01 00:54:16.062223
2020-09-01 00:54:16.062223,2020-09-01 00:55:16.062223
2020-09-01 00:55:16.062223,2020-09-01 00:56:16.062223
2020-09-01 00:56:16.062223,2020-09-01 00:57:16.062223
2020-09-01 00:57:16.062223,2020-09-01 00:58:16.062223
2020-09-01 00:58:16.062223,2020-09-01 00:59:16.062223
2020-09-01 00:59:16.062223,2020-09-01 01:00:16.062223
2020-09-01 01:00:16.062223,2020-09-01 01:01:16.062223
2020-09-01 01:01:16.062223,2020-09-01 01:02:16.062223
2020-09-01 01:02:16.062223,2020-09-01 01:03:16.062223
2020-09-01 01:03:16.062223,2020-09-01 01:04:16.062223
2020-09-01 01:04:16.062223,2020-09-01 01:05:16.062223
2020-09-01 01:05:16.062223,2020-09-01 01:06:16.062223
2020-09-01 01:06:16.062223,2020-09-01 01:07:16.062223
2020-09-01 01:07:16.062223,2020-09-01 01:08:16.062223
2020-09-01 01:08:16.062223,2020-09-01 01:09:16.062223
2020-09-01 01:09:16.062223,2020-09-01 01:10:16.062223
2020-09-01 01:10:16.062223,2020-09-01 01:11:16.062223
2020-09-01 01:11:16.062223,2020-09-01 01:12:16.062223
2020-09-01 01:12:16.062223,2020-09-01 01:13:16.062223
2020-09-01 01:13:16.062223,2020-09-01 01:14:16.062223
