Fecha UTC,Magnitud,Inicio_CO10,Inicio_AC04,Inicio_AC05,Inicio_CO05,Distancia a estación CO10,Distancia a estación AC04,Distancia a estación AC05,Distancia a estación CO05
2021-07-04T09:33:39,2.5,2021-07-04T09:33:45,2021-07-04T09:33:49,2021-07-04T09:33:54,2021-07-04T09:33:54,48.79,84.05,127.6,127.1
2021-07-04T10:08:34,2.5,2021-07-04T10:08:40,2021-07-04T10:08:43,2021-07-04T10:08:48,2021-07-04T10:08:50,53.4,74.42,119.54,130.98
2021-07-04T10:34:49,2.8,2021-07-04T10:34:54,2021-07-04T10:34:59,2021-07-04T10:35:04,2021-07-04T10:35:04,47.01,83.41,124.74,125.22
2021-07-04T10:54:13,3.2,2021-07-04T10:54:19,2021-07-04T10:54:22,2021-07-04T10:54:28,2021-07-04T10:54:29,55.7,74.88,123.31,133.64
2021-07-04T11:23:36,3.0,2021-07-04T11:23:42,2021-07-04T11:23:45,2021-07-04T11:23:51,2021-07-04T11:23:51,49.05,79.44,121.5,126.96
2021-07-04T11:30:01,2.5,2021-07-04T11:30:07,2021-07-04T11:30:11,2021-07-04T11:30:16,2021-07-04T11:30:16,50.52,83.72,129.02,128.84
2021-07-04T13:27:03,2.7,2021-07-04T13:27:09,2021-07-04T13:27:12,2021-07-04T13:27:17,2021-07-04T13:27:18,50.09,78.14,120.87,127.91
2021-07-04T13:32:06,3.4,2021-07-04T13:32:11,2021-07-04T13:32:16,2021-07-04T13:32:22,2021-07-04T13:32:21,45.42,88.36,129.4,123.75
2021-07-04T14:21:15,2.8,2021-07-04T14:21:21,2021-07-04T14:21:24,2021-07-04T14:21:30,2021-07-04T14:21:30,48.71,80.3,122.36,126.71
2021-07-04T19:12:27,2.5,2021-07-04T19:12:35,2021-07-04T19:12:49,2021-07-04T19:12:45,2021-07-04T19:12:28,64.92,180.27,148.09,14.04
2021-07-04T20:29:40,3.3,2021-07-04T20:29:45,2021-07-04T20:29:50,2021-07-04T20:29:55,2021-07-04T20:29:55,45.43,86.78,127.45,123.75
2021-07-04T21:30:53,3.2,2021-07-04T21:30:57,2021-07-04T21:31:12,2021-07-04T21:31:09,2021-07-04T21:30:58,36.21,154.06,135.17,42.39
2021-07-04T21:36:20,3.3,2021-07-04T21:36:26,2021-07-04T21:36:29,2021-07-04T21:36:35,2021-07-04T21:36:36,50.99,80.31,125.18,129.16
2021-07-04T23:57:04,3.3,2021-07-04T23:57:11,2021-07-04T23:57:12,2021-07-04T23:57:19,2021-07-04T23:57:20,58.6,72.08,122.95,136.43
